scenario,topology,step_index,source_time_s,timestamp_s,event_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,vfd_available_output_pu,vfd_tripped,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_temperature_k,upw_mass_balance_residual_m3_s,pressure_support,flow_support,hydraulic_support,effective_availability,dressing_availability,slurry_utility_availability,coolant_temperature_k,cooling_conductance_factor,cmp_mode,cmp_pad_surface_activity,cmp_interface_temperature_k,cmp_mrr_m_s,cmp_cumulative_removal_m
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,54,0.53,0.54,False,1.0,1.0,GRID,500.0,1.0,False,188.4999967747186,0.00020000006861630143,199999.84907917678,0.0,299999.8560640961,0.0001,293.15,8.858671798504507e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5048368644494413,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,55,0.54,0.55,False,1.0,1.0,GRID,500.0,1.0,False,188.49999693598267,0.00020000006546604774,199999.85606409606,-2.9103830456733704e-11,299999.86281618476,0.0001,293.15,-9.838179630770095e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5049259928512484,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,56,0.55,0.56,False,1.0,1.0,GRID,500.0,1.0,False,188.49999708918352,0.00020000006241509903,199999.8628161848,2.9103830456733704e-11,299999.86921902746,0.0001,293.15,-2.512687079887533e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.505015105192294,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,57,0.56,0.5700000000000001,False,1.0,1.0,GRID,500.0,1.0,False,188.49999723472433,0.0002000000595225185,199999.86921902746,0.0,299999.8752726242,0.0001,293.15,8.142716823077462e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5051042014754753,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,58,0.5700000000000001,0.58,False,1.0,1.0,GRID,500.0,1.0,False,188.4999973729881,0.00020000005678911885,199999.8752726242,0.0,299999.8810933903,0.0001,293.15,-1.7289812702207807e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5051932817036893,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,59,0.58,0.59,False,1.0,1.0,GRID,500.0,1.0,False,188.4999975043387,0.00020000005415746457,199999.88109339026,-2.9103830456733704e-11,299999.88668132573,0.0001,293.15,-9.419072553168516e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5052823458798321,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,60,0.59,0.6,False,1.0,1.0,GRID,500.0,1.0,False,188.49999762912176,0.00020000005162828914,199999.8866813257,-2.9103830456733704e-11,299999.8919200152,0.0001,293.15,8.944918807388099e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5053713940067995,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,61,0.6,0.61,False,1.0,1.0,GRID,500.0,1.0,False,188.49999774766567,0.00020000004926049706,199999.8919200152,-2.9103830456733704e-11,299999.89692587405,0.0001,293.15,6.803832519088075e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5054604260874869,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,62,0.61,0.62,False,1.0,1.0,GRID,500.0,1.0,False,188.49999786028238,0.0002000000469965426,199999.89692587405,0.0,299999.90169890225,0.0001,293.15,6.865275703612641e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5055494421247887,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,63,0.62,0.63,False,1.0,1.0,GRID,500.0,1.0,False,188.49999796726826,0.00020000004483705476,199999.90169890225,0.0,299999.9062390998,0.0001,293.15,9.13553835986573e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5056384421215994,293.15,0.0,0.0
